,tweet,label
0,Insidious!<e>Mitt Romney</e>'s Bain Helped Philip Morris Get U.S. High Schoolers <a>Hooked On Cigarettes</a> http://t.co/nMKuFcUq via @HuffPostPol,-1
1,.@WardBrenda @shortwave8669 @allanbourdius you mean like <e>romney </e><a>cheated in primary</a>?,-1
2,<e>Mitt Romney</e> still does not <a>believe</a> that we <a>have a black president</a>.,-1
3,<e>Romney</e>'s <a>tax plan</a> deserves a 2nd look because he has a secret one that is different than the one <a>he's been lying about</a>http://t.co/arvfPQ7W,-1
4,Hope <e>Romney</e> debate prepped with the same people as last time.,1
5,Want to know how <e>Mitt Romney</e> is going to be able to <a>cut by $5 trillon dollars</a>? Go here it explains everything: http://t.co/t8jYT5RH,-1
6,"If <e>Romney</e> wins the <a>presidential election</a>, the<a> worlds really ending this year.<a>",-1
7,<e>Romney</e>'s <a>12 million jobs scam </a>reminds me of Rip Torn selling pennies in the movies. Sick puppy. http://t.co/kFaosHrM,-1
8,"<e>Mitt #Romney</e> <a>said</a> that <a> catching Osama bin Laden</a> would be ""insignificant"" and it is ""not worth moving heaven and earth."" http://t.co/oid9jiTK",-1
9,Please be<e> Mitt Romney</e> “@HuffingtonPost: Who is Honey Boo Boo endorsing for president? (VIDEO) http://t.co/ThwnfDAB”,0
10,#<e>Romney</e> is disappointed when states allow <a>same-sex marriage</a> http://t.co/TFfzsxD3,-1
11,If women that the Polls show are truly voting for <e>Romney</e>? Then I do not want to know how they truly take care of their household's.,0
12,"@politicswnation When it comes 2 his<a> $5 trillion tax plan</a>, do not let <e>Mitt Romney </e>give you the ryounaroyound. Details matter: http://t.co/ZCChMCUw",-1
13,MT @LOLGOP | REMINDER:<e> Mitt Romney</e> is not <a> changing positions</a>. He's refusing to admit the positions he has.,-1
14,"people know <e>Romney</e> is<a> a liar, he hides his taxes, makes false accusations, agnst women rights<a>, yet they buy into it, cant bleive,makesnosense-1",-1
15,Good luck<e> @MittRomney</e> tonight. I have already voted for you. Nothing Obama says could change my mind  I see what he has done. Actions speak!,1
16,<e>Mitt Romney </e> <a>is</a> seriously thick. Listen to him for 5 minutes. I fear for the world.,-1
17,The debate tonight is going to be pointless we all know <e>Romney </e>will win the <a>debate</a> once again,1
18,Democrats Launch Ingenious New Site To Attack <e>Romney</e>'s Tax Plan http://t.co/nZz7dZSI Brilliant. #p2 #tlot #tcot,-1
19,"<e>Mitt Romney</e> always <a>worshiped his father<a>. This must hurt, at least a little. http://t.co/vrGgUg9b",0
20,"Hope the <a>debate</a> goes as well for <e>Romney </e>tonight as it did the first time around. But, with hair like that, how could it not?? @Mollaysia",1
21,Fuck <e>mitt romney</e> * Rick Ross voice *,-1
22,<e>romney </e>can kiss my ass,-1
23,Yet Another CEO Asks Employees to Vote <e>Romney </e>for: *Yet Another CEO Asks Employees to Vote <e>Romney</e> for Sake of th... http://t.co/fnBL5xHk,-1
24,<a>Radio Ad</a> <e>mitt Romney </e>completely wrong: http://t.co/Ras3gBr8 via @youtube,-1
25,"If you are a woman voting for <e>Romney</e>, you either have a penis, an IQ of 5, or are close minded as hell #responsestoMonicaCrowley",-1
26,"good one #DNC ... but more importantly, <e>Romney</e> did not <a>think to snatch up this domain</a>? http://t.co/RIILzApO @LOLGOP",-1
27,"If I were the Yankees I'd send Arod to debate <e>Romney</e> &amp; start <e>Barack Obama</e> at 3rd base. Hey, it is not like either of them can get any worse.",0
28,If BO comes out 'fighting' <e>Mitt</e> will simply take advantage of the obvious pressure on the president,1
29,<e>Romney</e> is not clueless. He's evil.,-1
30,@daveweigel <e>Romney</e> could his make his second fortune in teaching other people how to<a> lie</a> as effortlessly as he does.,-1
31,SHOCKER - <e>Romney</e> <a>jobs plan</a> revealed to be flim-flam http://t.co/ZWS9XPc6 #p2 #p2b #democrat #Hofstra @collegedems @HofDemocrats @HofstraCR,-1
32,@ericbolling where are these polls showing <e>Romney</e> ahead?  I never see them,-1
33,"BOOM! RT ""@BenLaBolt: Former<e> Romney</e> senior aide says Romney will say and <a>do anything to close a deal</a>: http://t.co/1gySwD1A""",-1
34,FOX News is really struggling to defend <e>Romney</e> &amp; Ryan. Oh &amp; who is this chick? Did she really say that on National TV.  http://t.co/BCWbinV9,-1
35,Oh yeah? RT @fwwak: <e>Romney </e>I pray to baby Jesus you assault<e> Obama </e>with an AK-47 tonight ... God Bless,0
36,@CarolineManzo can you tell which candidate yoyou syoupport? <e>Romney</e> i hope:-),1
37,"<e>Romney</e> picking up steam, now has 1% of black vote #atleastitsnot0",-1
38,Patton Oswalt Gives <e>Romney</e> Debate Tips On Conan (VIDEO) http://t.co/5zBF4mwE,0
39,"Ann might try a mirror ""@BlumsLaw <e>Ann Romney</e> <a>blames</a> media, negative ads for husband's image"" #stopit #thisishard #romneyshambles",-1
40,"Dear misinformed public, <e>Romney</e> does not only<a> propose some minor tax cuts, but major cutting of government spending</a>. #<e>RomneyRyan</e>2012",-1
41,<e>Mitt Romney</e>'s jobs plan <a>math</a> is as bogus as his tax plan <a>math</a>:  http://t.co/NodLSGjE,-1
42,reported <e>Mitt Romney</e>'s  sponsored shit as spam on <a>facebook</a>.,-1
43,"snoop doggs reasons not to vote for <e>romney</e>: ""this muthafuckas <a>name</a> is mitt."" ""hes a morman but he aint got no hoes.""",-1
44,George Bush said <e>Mitt Romney</e> will be a great president are people really respecting his opinion?,0
45,"#<e>Romney</e> may have been in other #townhalls, but never when 100% get to <a>ask questions and hear answers</a>. #kingofcrazytown",-1
46,"Business Insider: ""Please explain why Bill Clinton is wrong"" on <e>Romney</e> / Ryan fraud: http://t.co/xkhSnzux",-1
47,Poll: <e>Romney</e> <a>Opens Large Lead In Rural Swing Counties </a>http://t.co/DxO7WsQ4,1
48,Fantastic letter Tony Dungy wrote to President <e>Obama</e> &amp; <e>Mitt Romney</e> about the importance of Fatherhood to our country.RT http://t.co/8h2dfll9,0
49,FUN FACT: <e>Mitt Romney</e> would become the first man to be elected President after telling half the country to fuck themselves....Andy Borowitz,-1
50,"More so than most politicians, I have NO idea how anyone believes anything <e>Romney</e> says.",-1
51,"In politics, you get what you deserve. If women do not vote, you get <e>Romney</e>. Think it over. Vote or shut-up.",-1
52,"I'm not saying you are a liar, Gov <e>Romney</e>, I just approve of ads saying so. Oh and ads that say your <a>a murderer</a>. @<e>BarackObama</e> #PoliteDebate",-1
53,#<e>Romney</e> Is Attacked by His Father's Longtime Aide http://t.co/ja9DK35h #p2 #election2012,-1
54,"I suspect the mainstream media of being bought off by big billionaires to skewer the polls and <a>fix the reporting</a>.<e>Romney</e> is ""rising"" too fast",-1
55,"s exactly. Frum urges Romney to show <a>empathy with the audience</a>, the one thing he will <a>struggle to do</a>.",-1
56,<e>Mitt ROmney</e>,0
57,I'm moving to Paris if <e>Romney</e> wins,-1
58,<e>Mitt Romney</e>'s<a> jobs plan math is as bogus as his tax plan math</a>:  Washington Post fact-checker Glenn Kessler takes... http://t.co/6a3BOIhS,-1
59,"<e>Mitt #Romney</e>'s <a>plan</a> for a ""middle class tax cut"" would provide zero benefits to 73.9 percent of the middle class:  http://t.co/32MIW7Ku",-1
60,#ThingsToRemember: Romney has <a>not submitted relevant tax records</a>. #WhereAreYourTaxRecords #<e>Mitt</e>,-1
61,<e>Mitt Rommney</e> <a>aint pay no tax<a>,-1
62,"As I've been speculating, the secret to <e>Romney</e>'s tax plan is that he is not all that<a> committed to the promised 20% cut</a>. http://t.co/Kgn6x4J9",-1
63,This is an impressive web experience: <e>Romney</e>'s<a> $5 trillion tax plan</a>. Details matter: http://t.co/YG2QsqPO,-1
64,He should maintain his grace and let his persona come through respectfully...but challenge <e>Romney</e> on the facts and specifics.,0
65,Missing from <e>Romney</e>'s tax plan: Reality - Fortune (blog): Fortune (blog)Missing from <e>Romney</e>'s <a>tax plan</a>: RealityF... http://t.co/tmDxJwz5,-1
66,#LT and it is nothing against <e>Romney</e>. I just feel like they should be paying more attention if they are trying to truly cater to their users,0
67,<e>Mitt Romney</e> <a>don't pay no tax</a>...,-1
68,RT @Archuleta2012: Why <e>Mitt Romney</e>'s <a>12 million jobs math is rejected </a>by the fact checkers: http://t.co/qwBczcwM,-1
69,#Women #GOP <e>Mitt Romney </e>does not support your right to <a>get equal wages for equal work </a>&amp; that IS your economy &amp; also your retirement. NO MITT,-1
70,Im like really in love with <e>romney</e>,1
71,#itspartytimechumps - <e>Mitt Romney</e>,0
72,<e>Romney </e>must feel on <a>debate</a> days like I did at SATs: just pray I can make up for math problems by acing the verbal.,-1
73,If <e>Romney </e>wins you all gonn be popping kids out like crazy ðŸ‘¦ðŸ‘§ðŸ‘¶ðŸ‘¶ðŸ‘¦ðŸ‘§ðŸ‘¶ðŸ‘§ðŸ‘§ðŸ‘¦ðŸ‘¦ðŸ‘¦ðŸ‘§ðŸ‘§ðŸ‘§ðŸ‘¶ðŸ‘¶ðŸ‘¶,-1
74,"@SMShow Do NOT feel bad for Bush! If pigs fly and Romney wins, Bush will be celebrated by the GOP and Robme. Expect him 2 get awards!",-1
75,"<e>Mitt</e>: ""we do not <a>have people dying for lack of health insurance</a>."" <e>Mitt</e>, talk to a healthcare professional, not GOP toadies and learn. We Do.",-1
76,"snbc ....<e>Romney </e>is <a>not a STRONG debater</a>, <e>Romney </e>is <a>STRONG LIAR </a>!",-1
77,"Wow, if you are a woman who votes <e>Romney </e>you are a fucking idiot! It's like a Jew voting for Hitler.",-1
78,If<e> Romney </e>becomes president you can catch me living in Mexico. Fuck that.,-1
79,"RT ""FUN FACT: <e>Mitt Romney </e>would become the first man to be elected President after telling half the country to fuck themselves. #debate""",-1
