,tweet,label
0,kirkpatrick who wore a baseball cap embroidered with barack obamas signature and had the hangdog look of jason segel  courier journal,0
1,obama debates that cracker ass cracker tonight i will be tuned in teamobama,1
2, youre missing the point im afraid you do not understand the bigger picture if you dont care if obama re elected,0
3,i was raised as a democrat left the party years ago  but in my lifetime i have never seen a president divide the country like obama,-1
4,the obama camp cant afford to lower expectations for tonights debate the president must give a strong performance,0
5,obama pot policy disappointing  to say the least  legaizeit via ,-1
6,not all of hollywood has his back rt gene simmons yanks obama support calls him a pisspoor president ,-1
7,obamas expedient speak fair in order to slenderizing biscuittaiwan tensions gjn ,0
8,i had a dream that i was smoking with obama oo,0
9,the washington times the presidents popularity bubble has burst  barack obama  fox nation obama ofa tcot,-1
10,obamas priorities k for gaydar research not security for our embassy in libya tlot tcot p,-1
11,united states of islam  does obama really think that weirdoooooo,-1
12, they created this debt now plame obama handing out money to billionaires and two wars u braked u owned,-1
13, obama has not kept one of his  promises of the  town hall debates why believe him tonight ,-1
14,this sub is here talking shit about obama,0
15,obama ist tot,0
16, when you go against your own ideas to hurt obama and america for electing a blk pres youve shown your whole hand dumbass,0
17,still my idol mr president obama,1
18, pretty creepy no wonder obama always has starbursts in his pocket some equally realistic theories here ,0
19,just saw a truck with a nasa sticker and an obama sticker new bff,0
20,debate  tonight i hope obama brings a lot of energy tonight this debate is crucial obama,0
21, you said so much good things about obama when the small business owner picked him up,1
22,hillary taken the spaken for obamas ignorance attaboy obama the more blind people that have ur back the better off u will be spineless,-1
23, im a south african and i say obama is the best thing to happen to america,1
24,rt smart women know when obama said his policies would cause energy prices to skyrocket he meant it  tcot sgp,-1
25,tonight obama will be focused and forceful leaving voters to wonder why he didnt know he should do that in the first debate,0
26,obama may need ground game of his backers are following elex very closely compared with  in  ,0
27,i remember when obama first got elected niggas acted like it was the second coming of jesus,0
28,obama is working out next to me,0
29,pretty much rt if obama loses tonight expect the madness meltdown to breach containment ,0
30,if obama wins i wanna move to new york,0
31, just once i want to hear obama say nigga please yeees,0
32,barack obama quietly gives himself control of all communication systems in america notobama obamavsamerica,-1
33, last kid voted  johnson but he would bk obama how does that make sense oh my god i could scream,0
34,thanksgiving obama turkey on google omg thats so wrong,0
35,okay obama it is time to put your game face on and get shit done,1
36, im actually beginning to feel sorry for obamanever mind it passed like smelly gas,-1
37, i agree we cant afford  more years of obama,-1
38, i feel you but thee next indie pres we will use this time next term after obm i fuck wt obama but the ent world should step to him,0
39,has anyone seen obama oh hes hiding behind hillary epicfail hillary will never see her fantasy of being potus weak,-1
40,cdn news muppets denounce democrats call obama a puppet ahead of the democratorganized conservative tcot,-1
41,new w intelligence syrian rebels dont have the numbers to win  obama doesnt either  debka obamassad,-1
42,rt gov gary johnson pulling votes from waste your vote obama must go,-1
43,bob beckel obama created  mil jobs  so there where  mil people without jobs in january   are you kidding me bob,0
